[2016-01-26 00:33:46,103][INFO ][Timer-49       ][XDRBackgroundFileWriter                           ][ 115] flushed 3 records to file CRCE_CDR_20160125131245.csv.tmp
[2016-01-26 00:33:48,129][WARN ][Timer-81       ][AbstractXDRFileHandler                            ][ 165] FILE CLOSED::PROV_SDR_20160126003148.csv.tmp
[2016-01-26 00:33:48,130][INFO ][Timer-81       ][AbstractXDRFileHandler                            ][ 210] deleted zero size file: PROV_SDR_20160126003148.csv.tmp
[2016-01-26 00:33:48,130][WARN ][Timer-81       ][AbstractXDRFileHandler                            ][ 178] File Writer closed!
[2016-01-26 00:33:48,130][WARN ][Timer-81       ][AbstractXDRFileHandler                            ][  98] CREATING NEW FILE ...
[2016-01-26 00:33:48,130][INFO ][Timer-81       ][AbstractXDRFileHandler                            ][ 110] creationTime: 2016-01-26 00:33:48
[2016-01-26 00:33:48,131][WARN ][Timer-81       ][AbstractXDRFileHandler                            ][ 118] NEW FILE CREATED::/var/opt/inew/xdr/common/etl_export/prov_sdr/PROV_SDR_20160126003348.csv.tmp
[2016-01-26 00:33:48,131][INFO ][Timer-81       ][AbstractXDRFileHandler                            ][ 126] expirationTime: 2016-01-26 00:34:48
[2016-01-26 00:33:48,131][INFO ][Timer-81       ][AbstractXDRFileHandler                            ][  78] --- started file handler ---
[2016-01-26 00:33:49,947][INFO ][Timer-51       ][XDRBackgroundFileWriter                           ][ 115] flushed 2 records to file ERROR_CRCE_CDR_20160125131249.csv.tmp
