[2016-01-25 00:33:05,374][INFO ][Timer-50       ][XDRBackgroundFileWriter                           ][ 115] flushed 1 records to file CRCE_CDR_20160125003235.csv.tmp
[2016-01-25 00:33:08,145][WARN ][Timer-62       ][AbstractXDRFileHandler                            ][ 165] FILE CLOSED::CRCE_SIMSWAP_20160125003108.csv.tmp
[2016-01-25 00:33:08,145][INFO ][Timer-62       ][AbstractXDRFileHandler                            ][ 210] deleted zero size file: CRCE_SIMSWAP_20160125003108.csv.tmp
[2016-01-25 00:33:08,145][WARN ][Timer-62       ][AbstractXDRFileHandler                            ][ 178] File Writer closed!
[2016-01-25 00:33:08,146][WARN ][Timer-62       ][AbstractXDRFileHandler                            ][  98] CREATING NEW FILE ...
[2016-01-25 00:33:08,146][INFO ][Timer-62       ][AbstractXDRFileHandler                            ][ 110] creationTime: 2016-01-25 00:33:08
[2016-01-25 00:33:08,146][WARN ][Timer-62       ][AbstractXDRFileHandler                            ][ 118] NEW FILE CREATED::/var/opt/inew/xdr/common/etl_export/crce_simswap/CRCE_SIMSWAP_20160125003308.csv.tmp
[2016-01-25 00:33:08,146][INFO ][Timer-62       ][AbstractXDRFileHandler                            ][ 126] expirationTime: 2016-01-25 00:34:08
[2016-01-25 00:33:08,146][INFO ][Timer-62       ][AbstractXDRFileHandler                            ][  78] --- started file handler ---
